in:Inventory,in:Wall Length,in:Wall Height,in:Door,in:Curve Frequency,in:Curve Amplitude,out:Leftover inventory[m2],out:Displacement Average[cm],out:Uncovered Wall Area[m2],out:Average Mapping Tolerance
0,400,240,0.0,1,0,705.891273,20.579985,72.076725,4.067e-09
0,400,240,0.0,1,0,705.891273,20.57996,72.076725,6.0162e-08
0,400,240,0.0,1,0,706.212596,20.579967,72.398048,5e-09
0,400,240,0.0,1,0,705.891273,20.580003,72.076725,4.7338e-08
0,400,240,0.0,1,0,706.212596,20.579981,72.398048,1.259e-08
0,400,240,0.0,1,0,706.212596,20.57997,72.398048,6.6304e-08
0,400,240,0.0,1,0,707.328202,20.579987,73.513654,6.4859e-09
1,400,240,0.0,1,0,1283.218402,11.92504,23.108903,1.4789e-09
1,400,240,0.0,1,0,1276.932371,7.304139,16.822871,2.3814e-08
1,400,240,0.0,1,0,1274.643358,12.89171,14.533859,1.4286e-09
1,400,240,0.0,1,0,1284.429867,8.481318,24.320368,1.7214e-08
1,400,240,0.0,1,0,1274.643358,12.874731,14.533859,3.5972e-09
1,400,240,0.0,1,0,1273.132525,6.330127,13.023025,2.2561e-08
1,400,240,0.0,1,0,1285.866796,9.616821,25.757297,2.3585e-09
2,400,240,0.0,1,0,1377.549652,12.151067,6.146403,5.2477e-10
2,400,240,0.0,1,0,1379.176121,12.620043,7.772871,1.2474e-08
2,400,240,0.0,1,0,1377.687108,15.944185,6.283859,8.3334e-10
2,400,240,0.0,1,0,1378.598617,8.108362,7.195368,5.4101e-09
2,400,240,0.0,1,0,1377.887108,15.871163,6.483859,2.0984e-09
2,400,240,0.0,1,0,1374.076275,3.193022,2.673025,1.1699e-08
2,400,240,0.0,1,0,1378.985546,8.375905,7.582297,7.4125e-10
3,400,240,0.0,1,0,503.519905,9.48413,5.931262,3.2251e-09
3,400,240,0.0,1,0,503.094905,10.252248,5.506262,3.8957e-09
3,400,240,0.0,1,0,503.044905,10.097569,5.456262,4.0316e-09
3,400,240,0.0,1,0,503.044905,10.135516,5.456262,6.1319e-09
3,400,240,0.0,1,0,503.044905,9.535301,5.456262,2.5608e-09
3,400,240,0.0,1,0,503.144905,10.397722,5.556262,4.0697e-09
3,400,240,0.0,1,0,503.419905,9.761807,5.831262,3.7541e-09
0,600,240,0.0,1,0,629.303424,20.580169,115.488857,9.5523e-09
0,600,240,0.0,1,0,630.497212,20.580149,116.682645,4.354e-08
0,600,240,0.0,1,0,629.303424,20.580161,115.488857,3.3333e-09
0,600,240,0.0,1,0,629.303424,20.580118,115.488857,3.6441e-08
0,600,240,0.0,1,0,630.497064,20.580171,116.682497,3.7345e-08
0,600,240,0.0,1,0,629.476265,20.580181,115.661698,4.5949e-08
0,600,240,0.0,1,0,629.476265,20.580181,115.661698,5.1573e-09
1,600,240,0.0,1,0,1160.063837,15.395594,19.954319,2.9988e-09
1,600,240,0.0,1,0,1158.554916,12.694414,18.445398,1.7768e-08
1,600,240,0.0,1,0,1158.799805,12.176154,18.690286,1.0526e-09
1,600,240,0.0,1,0,1156.206134,10.402277,16.096616,1.0932e-08
1,600,240,0.0,1,0,1160.698921,12.36631,20.589402,1.1793e-08
1,600,240,0.0,1,0,1161.2299,9.992195,21.120382,1.7482e-08
1,600,240,0.0,1,0,1157.87745,9.120937,17.767931,1.6286e-09
